iter	Passed	Remaining
0	1	120
1	2	108
2	3	102
3	3	93
4	4	89
5	5	88
6	6	86
7	7	85
8	8	83
9	9	82
10	9	80
11	10	79
12	11	78
13	12	77
14	13	75
15	14	77
16	16	78
17	17	79
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	66
31	31	66
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	37	56
40	38	55
41	39	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	47
49	46	46
50	46	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	88	0
