iter	Passed	Remaining
0	168	168169
1	170	85230
2	172	57426
3	174	43499
4	178	35548
5	181	30127
6	184	26109
7	185	23052
8	187	20646
9	189	18733
10	190	17169
11	192	15864
12	194	14789
13	197	13913
14	199	13083
15	201	12366
16	202	11735
17	204	11175
18	206	10670
19	210	10301
20	212	9911
21	214	9525
22	216	9179
23	217	8859
24	219	8571
25	221	8297
26	225	8134
27	227	7899
28	229	7676
29	231	7472
30	233	7288
31	235	7112
32	237	6963
33	240	6819
34	241	6671
35	243	6530
36	245	6392
37	247	6265
38	249	6142
39	251	6024
40	255	5964
41	256	5855
42	258	5751
43	260	5650
44	261	5553
45	263	5462
46	265	5383
47	269	5339
48	271	5260
49	272	5181
50	274	5104
51	275	5029
52	277	4960
53	279	4896
54	282	4861
55	285	4805
56	286	4747
57	288	4686
58	290	4628
59	291	4572
60	293	4516
61	295	4473
62	298	4442
63	300	4389
64	301	4341
65	303	4295
66	305	4249
67	306	4204
68	308	4161
69	311	4141
70	314	4109
71	315	4067
72	317	4028
73	318	3991
74	320	3953
75	322	3918
76	324	3886
77	328	3877
78	329	3843
79	331	3810
80	332	3777
81	334	3744
82	335	3706
83	337	3677
84	339	3654
85	342	3643
86	345	3620
87	346	3593
88	348	3568
89	350	3544
90	352	3523
91	355	3508
92	357	3484
93	358	3457
94	360	3431
95	361	3406
96	363	3382
97	364	3358
98	366	3335
99	369	3326
100	371	3304
101	372	3282
102	374	3262
103	376	3240
104	377	3219
105	379	3199
106	381	3180
107	386	3188
108	387	3170
109	389	3152
110	391	3133
111	393	3117
112	395	3106
113	400	3110
114	402	3100
115	404	3083
116	406	3065
117	408	3052
118	410	3042
119	417	3058
120	419	3046
121	420	3029
122	422	3015
123	424	3002
124	438	3068
125	440	3055
126	442	3040
127	448	3055
128	450	3044
129	452	3030
130	454	3016
131	456	3002
132	461	3007
133	465	3005
134	470	3017
135	473	3005
136	476	3002
137	478	2991
138	480	2977
139	482	2966
140	485	2955
141	487	2944
142	492	2949
143	497	2958
144	499	2945
145	501	2935
146	503	2922
147	507	2920
148	510	2913
149	511	2900
150	513	2888
151	515	2877
152	517	2864
153	519	2853
154	522	2849
155	524	2839
156	527	2830
157	529	2819
158	531	2809
159	533	2799
160	536	2796
161	539	2790
162	541	2779
163	543	2772
164	545	2761
165	547	2752
166	551	2751
167	553	2742
168	556	2734
169	558	2727
170	560	2717
171	562	2706
172	564	2696
173	568	2700
174	570	2690
175	572	2681
176	575	2675
177	577	2666
178	581	2665
179	584	2664
180	586	2655
181	588	2645
182	590	2636
183	592	2627
184	594	2620
185	598	2618
186	600	2609
187	601	2600
188	604	2592
189	606	2583
190	607	2574
191	612	2579
192	615	2572
193	616	2563
194	618	2554
195	620	2546
196	622	2537
197	626	2537
198	630	2535
199	631	2527
200	633	2518
201	635	2510
202	637	2502
203	639	2495
204	643	2496
205	645	2487
206	647	2479
207	649	2471
208	651	2464
209	653	2456
210	657	2457
211	658	2449
212	660	2441
213	662	2434
214	664	2426
215	666	2419
216	669	2417
217	672	2414
218	674	2405
219	676	2398
220	678	2390
221	680	2383
222	681	2374
223	684	2369
224	687	2369
225	689	2361
226	691	2354
227	692	2346
228	694	2338
229	696	2331
230	698	2326
231	702	2325
232	704	2317
233	705	2310
234	707	2303
235	709	2296
236	711	2289
237	714	2286
238	717	2283
239	719	2277
240	721	2271
241	722	2264
242	724	2257
243	726	2250
244	728	2246
245	731	2240
246	733	2235
247	735	2228
248	737	2223
249	739	2217
250	741	2211
251	744	2211
252	746	2204
253	749	2200
254	751	2194
255	753	2188
256	755	2183
257	758	2180
258	761	2178
259	763	2173
260	765	2168
261	768	2164
262	770	2159
263	774	2158
264	778	2157
265	780	2152
266	781	2146
267	784	2141
268	788	2143
269	791	2139
270	793	2135
271	796	2130
272	798	2126
273	803	2128
274	806	2126
275	809	2122
276	811	2119
277	813	2113
278	819	2117
279	821	2112
280	824	2109
281	826	2103
282	828	2098
283	829	2092
284	834	2094
285	836	2089
286	838	2083
287	840	2078
288	842	2073
289	844	2067
290	847	2065
291	851	2063
292	853	2058
293	854	2052
294	856	2047
295	858	2042
296	860	2036
297	864	2037
298	867	2032
299	869	2028
300	871	2023
301	873	2017
302	875	2012
303	877	2008
304	880	2005
305	882	2000
306	883	1994
307	885	1989
308	887	1983
309	888	1978
310	890	1973
311	893	1970
312	896	1966
313	898	1962
314	900	1957
315	903	1954
316	904	1949
317	908	1949
318	910	1944
319	912	1939
320	914	1933
321	915	1928
322	917	1923
323	919	1918
324	921	1913
325	925	1913
326	927	1908
327	928	1902
328	930	1898
329	932	1892
330	934	1887
331	935	1883
332	940	1884
333	942	1879
334	945	1875
335	947	1871
336	948	1866
337	950	1861
338	954	1861
339	956	1857
340	959	1853
341	960	1848
342	962	1844
343	964	1839
344	967	1836
345	970	1834
346	972	1830
347	974	1825
348	976	1821
349	978	1817
350	982	1815
351	985	1814
352	987	1810
353	989	1806
354	991	1801
355	993	1797
356	996	1794
357	998	1790
358	1000	1786
359	1003	1783
360	1005	1779
361	1006	1774
362	1008	1770
